timestamp,prev_index_price,interest_8h,interest_1h,index_price,funding
1612396800000,1639.41,0.00038992419317377774,7.170109180315766e-05,1668.15,0.0003976669200901387
1612425600000,1680.13,4.7402271719060505e-05,6.148489092771087e-09,1665.12,4.764213680504807e-05
1612454400000,1592.42,8.938142724338357e-05,8.706180623134763e-06,1582.02,8.783650938174732e-05
1612483200000,1628.05,0.00016270630419999517,2.2514640131749256e-06,1597.5,0.00016962745770224836
1612512000000,1647.89,0.00029823665601529776,7.508495162759461e-05,1665.77,0.0003055443790041534
1612540800000,1741.16,0.0008259828123991226,8.634436883372477e-08,1744.66,0.0008326229385358452
1612569600000,1704.04,-1.1514967254510353e-06,0.0,1720.75,-1.1307849169237605e-06
1612598400000,1680.73,-6.311306556377018e-05,-8.936202102871233e-06,1674.76,-6.138544613646381e-05
1612627200000,1689.35,2.6883656884661015e-06,-1.689933127301755e-07,1676.78,2.6931917716855133e-06
1612656000000,1704.72,0.0005235757203957854,0.00011440087844315051,1679.55,0.0005327914055167213
1612684800000,1612.08,6.185303640369648e-05,-1.1975057040392505e-07,1634.45,6.191512571081977e-05
1612713600000,1573.25,-7.02868947126783e-05,-6.627020492240794e-05,1539.99,-6.766895175701903e-05
1612742400000,1601.92,-0.0003494000687988749,0.0,1614.94,-0.000353025920451542
1612771200000,1634.31,2.440994856469062e-07,0.0,1641.7,2.398959910228212e-07
1612800000000,1713.94,0.0005543827964337959,0.00023664705329899509,1738.57,0.0010339352504071806
1612828800000,1716.37,0.0018731037421960432,0.00039185695969454383,1753.07,0.0018461845044513649
1612857600000,1771.03,0.0014336557572963058,0.00010782821082981472,1753.66,0.0014271614181277012
1612886400000,1759.06,0.000345489751424784,0.0,1752.34,0.00034745479604299365
1612915200000,1767.56,0.00016487865231969032,2.5826549014563247e-06,1771.95,0.00016634936380792404
1612944000000,1804.11,0.0010756257265138985,0.00031010802847439213,1813.94,0.001094848775327217
1612972800000,1724.62,0.0002613735087680514,0.0,1713.4,0.00026086116137528323
1613001600000,1749.12,1.231805280993383e-05,6.491808645453984e-06,1742.72,1.2501497176322318e-05
1613030400000,1728.75,2.6076004375446314e-05,1.741389320072982e-05,1739.1,2.5929930276768205e-05
1613059200000,1798.68,0.0006577079175409819,0.0001425187935562521,1799.53,0.0006745676676787556
1613088000000,1783.06,0.0002165526084659564,1.057839891539786e-05,1787.91,0.00021676245551845952
1613116800000,1763.62,0.00013168596536340966,0.0,1769.71,0.00013179020480157347
1613145600000,1763.23,0.00017261280181435167,2.948706879667716e-06,1793.0,0.0001736029191574415
1613174400000,1854.21,0.0008518228036176034,9.971572098052912e-05,1845.04,0.0008736766875109306
1613203200000,1845.24,0.001023762887785343,6.410918842972483e-05,1809.69,0.001031658192672008
1613232000000,1809.84,9.125822267937383e-05,9.646343582945048e-07,1818.6,9.194281069414095e-05
1613260800000,1817.52,2.8626246755303418e-08,0.0,1818.02,2.8579336445660524e-08
1613289600000,1838.54,0.0005671442807934333,0.0001488130324029729,1833.99,0.0005713619994636033
1613318400000,1809.12,0.0009018757128377893,3.068466557036819e-05,1801.24,0.0009025894875655482
1613347200000,1825.62,1.1479542290910031e-05,0.0,1803.17,1.1535746517398014e-05
1613376000000,1738.55,-5.372987991774668e-06,0.0,1750.86,-5.25523778257369e-06
1613404800000,1785.87,1.9944464851445264e-05,8.943054024545971e-06,1810.99,2.039417582896172e-05
1613433600000,1799.06,3.6651243223796184e-05,4.566587970977269e-06,1779.35,3.660593993592904e-05
1613484000000,1801.33,9.389817733999981e-05,0.0,1775.71,-1.687384486221064e-06
1613512800000,1753.73,-1.2120618631257545e-07,0.0,1753.53,-1.198712767620235e-07
1613541600000,1739.91,1.4325437856428114e-05,1.1799519265577589e-05,1748.07,1.4248069478909552e-05
1613570400000,1824.59,0.0015593254888403136,0.0002529686528398858,1823.75,0.0016106612545479153
1613599200000,1830.5,0.0018623763930484102,0.0003257844690252364,1855.45,0.0018621684407304528
1613628000000,1902.3,0.0017367334217006393,0.00020941510194669567,1900.72,0.001757669286540836
1613656800000,1900.96,0.0018166629023683696,9.991201925112972e-05,1913.39,0.0018165086285496183
1613685600000,1939.03,0.0004902086143702308,5.66755248360543e-05,1945.72,0.0004921550164272434
1613714400000,1902.11,0.00027190118630021295,9.142270797214466e-05,1914.24,0.00026764724196683446
1613743200000,1929.31,0.0008245083109929411,7.942372363679364e-05,1923.95,0.00082913256509927
1613772000000,1952.39,0.0010507592255960749,0.00014475232111673284,1958.39,0.001063008819153785
1613800800000,2022.84,0.0008606140203066379,0.00017456589012344122,2015.21,0.0008722243093364177
1613829600000,2024.0,0.001291819739084566,0.00018727836405777221,2029.91,0.0012888217820771189
1613858400000,1986.87,0.0001700207614434579,0.0,1965.66,0.00016938982106398635
1613887200000,1944.74,-6.52839537412742e-06,0.0,1944.78,-6.528058385210201e-06
1613926800000,1962.17,0.0002625892455578799,3.279491637237122e-05,1959.82,0.00014634753779605388
1613955600000,1935.44,9.230996427697103e-05,-3.278963538330456e-08,1888.33,9.23485217781905e-05
1613984400000,1886.99,1.1027715227618509e-05,3.966152849935655e-06,1855.44,1.1031854493169446e-05
1614013200000,1733.33,0.00047106318873544646,2.656766632950287e-06,1729.72,0.00045088928749885073
1614042000000,1778.59,0.000110845477357736,6.3120258243829414e-06,1761.0,0.00010884266596239657
1614070800000,1586.19,0.00040823281076326394,8.896030499752185e-06,1443.9,0.0003785505908048989
1614099600000,1575.25,3.767887083267898e-05,-3.7358035583434425e-06,1550.69,3.8205172499703037e-05
