timestamp,prev_index_price,interest_8h,interest_1h,index_price,funding
1612396800000,37321.03,0.00013236777483893362,2.435451081858949e-05,37689.4,0.00013325900730695167
1612425600000,38156.28,0.0005194114965251376,6.28818429844336e-05,37893.97,0.0005222382003339357
1612454400000,36828.65,0.0003793200050219058,5.141669127633782e-05,36623.0,0.00037598641362764583
1612483200000,37302.38,0.00011982107607791392,2.4288030173065986e-05,36991.13,0.00012249838121273696
1612512000000,37433.1,0.0002654737436109939,8.261917185125961e-05,37719.39,0.00026725798219836894
1612540800000,38160.8,0.0006738232075396083,6.766149810551404e-05,38002.65,0.000674431849375569
1612569600000,37830.15,0.00019527527255087612,2.2228505271555655e-05,38313.05,0.00019453560696788532
1612598400000,39316.87,0.0007759560630524499,0.00010867443415262199,39395.93,0.0007907358043030369
1612627200000,40332.77,0.0005413825273917314,3.649562761290601e-05,40931.53,0.0005475683084789235
1612656000000,40046.16,0.0008104970309462917,0.0001199667781653209,39272.93,0.0007975751547452882
1612684800000,38569.93,0.0003749855983209083,5.707060011174909e-06,39075.95,0.0003718182697461173
1612713600000,38272.4,0.00039016465459966064,2.4780325408087825e-05,37969.22,0.00039057602977638666
1612742400000,38829.85,0.00011479760445812618,2.455443741926755e-05,38872.84,0.00011573909199090324
1612771200000,39048.68,0.0004172859745314193,6.145887578149198e-05,39307.73,0.00041492957596372254
1612800000000,43667.15,0.0009655617673477504,7.071020624042096e-05,43839.75,0.0010186969505849278
1612828800000,44722.05,0.0009451431298455314,0.00016689566769176266,46421.11,0.0009439146755312839
1612857600000,48184.37,0.0008555349090855363,5.6798980212818656e-05,47625.08,0.0008584838758857626
1612886400000,46690.47,0.0004171951998181343,8.743593937834625e-06,46851.06,0.0004100581707961408
1612915200000,46908.31,7.660179780437498e-05,2.314057098544202e-06,46515.75,7.653672332815925e-05
1612944000000,46569.8,0.00040047280346237337,8.917078830032548e-05,46650.14,0.0003989400402570157
1612972800000,45012.84,0.0004483002562501013,1.0478973102911254e-05,44380.06,0.0004482185116837303
1613001600000,45234.38,0.00010097616178109108,2.3660432141877638e-05,44860.47,0.00010209251518421664
1613030400000,44609.12,5.114355308801328e-05,2.697020836717171e-06,44757.07,5.088159296467646e-05
1613059200000,47915.51,0.0005491302037068725,0.00010537091044662121,48026.31,0.0005739814071764822
1613088000000,47769.64,0.0005627188784458785,6.0794716206544295e-05,47999.86,0.0005589478255910314
1613116800000,47432.19,0.0007290194170660617,0.0001478694228636548,47370.92,0.0007237420710285742
1613145600000,46635.95,0.0008166771827924843,5.213745692461158e-06,47127.21,0.0008188477892638635
1613174400000,47960.89,0.0005202542182047487,9.113579380789524e-05,47430.41,0.0005269070482796169
1613203200000,47846.91,0.0009354284907992296,7.505306571797415e-05,47118.74,0.0009431810513912488
1613232000000,47014.35,0.00027932685460740756,5.659447106217603e-06,47161.2,0.0002799281088079885
1613260800000,47134.7,2.635471285816594e-05,2.208734544851849e-06,47230.91,2.6351466513783518e-05
1613289600000,48771.98,0.0006851633069236899,0.00018476715920655003,48783.81,0.0006992376110436722
1613318400000,48807.25,0.0008281782599450168,6.465430751720114e-05,48616.78,0.0008330671633860322
1613347200000,49099.02,0.0004506407168824351,5.4087384812217036e-05,48667.08,0.0004530548387747626
1613376000000,46948.55,0.000780671037496382,0.00048209699938975726,47310.54,0.0007590459050264993
1613404800000,47599.82,0.0001400051721198079,1.9984415562231772e-05,47990.05,0.00014210819017461347
1613433600000,48328.11,0.0004984206549018829,7.321321577922331e-05,47936.99,0.0005029017416742105
1613484000000,49629.27,0.0021308330050690155,0.00015311397521700236,48912.91,0.0006729157815545377
1613512800000,48799.43,0.00016164713523543795,9.904661731465087e-06,48586.6,0.0001619460881450454
1613541600000,49379.88,0.0006715508788135888,2.8620794451507652e-05,49727.96,0.0006809127834400029
1613570400000,51033.53,0.0016367712913216168,0.00023808502408057564,51150.59,0.0016799278399654912
1613599200000,52262.52,0.0012758001360623464,0.00013079951826398698,52399.84,0.0012834927947273109
1613628000000,52200.29,0.0011020064732452368,0.0001160323572628614,52210.36,0.0010985666599515728
1613656800000,51463.14,0.0010722377768976033,8.10635970395626e-05,51810.85,0.001063498960593257
1613685600000,52127.84,0.0005270157211088513,2.3783966707464786e-05,52039.34,0.0005275821907701757
1613714400000,51125.6,0.00030283328445964027,4.968040154716817e-05,51494.9,0.00029929471433627863
1613743200000,52517.7,0.000804918116577032,0.00010592371168164574,52791.65,0.0008177980596541539
1613772000000,55361.59,0.0006277589108053276,4.4920623815562056e-05,55635.58,0.0006438859469963579
1613800800000,55868.64,0.00033094238511240256,3.490907964203992e-05,55695.04,0.0003326085630204368
1613829600000,57279.22,0.00026717539014754955,1.7351471023342648e-05,57304.12,0.00026774213320296446
1613858400000,56778.04,9.563703655597342e-05,1.3074311618791434e-05,56531.38,9.510537901828268e-05
1613887200000,56715.24,0.00015911091760737925,1.4774744353424983e-05,56595.88,0.00015840305704435665
1613923200000,57444.85,0.00021553792369428373,8.939163542414535e-05,57368.36,0.000243326244229883
1613952000000,57396.75,0.0006460787968631707,2.0132732009450284e-05,57491.99,0.0006504609076375635
1613980800000,56049.26,0.00014381347828930442,4.571751229905889e-05,56484.94,0.00014094014050651022
1614009600000,53666.92,0.0009708998917061138,-6.989798102405727e-06,53311.25,0.0009293268040759596
1614038400000,54124.38,0.00013645568129360623,1.7417863600525307e-06,54147.17,0.00013484597990027873
1614067200000,49553.86,0.00033465938358167565,4.88940520674451e-05,49651.58,0.00031552917458116825
